	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-slv_cosine-d_0100	ELTeC-slv	cosine-d	0100	3.0	0.7796322489391796	0.9296780102619595	0.9473348385726955	0.9384233766144878	0.8809523809523809	0.07032198973804045
ELTeC-slv_burrows-d_0100	ELTeC-slv	burrows-d	0100	3.0	0.7796322489391796	0.9296780102619595	0.9473348385726954	0.9384233766144878	0.8809523809523809	0.07032198973804045
ELTeC-slv_eders-d_0100	ELTeC-slv	eders-d	0100	6.0	0.6103719793646484	0.8648628089778158	0.893241132804124	0.8788229374293945	0.8095238095238095	0.13513719102218447
ELTeC-slv_cosine-d_0150	ELTeC-slv	cosine-d	0150	2.0	0.8668438145851787	0.9571333885485142	0.9652520276996952	0.9611755647611998	0.9523809523809523	0.042866611451486056
ELTeC-slv_burrows-d_0150	ELTeC-slv	burrows-d	0150	3.0	0.7890222984562607	0.9290534955169447	0.9473013023975508	0.9380886677491836	0.9047619047619048	0.07094650448305544
ELTeC-slv_eders-d_0150	ELTeC-slv	eders-d	0150	4.0	0.7332390381895333	0.9124501549876022	0.9297797847635941	0.9210334610308843	0.8571428571428571	0.08754984501239785
ELTeC-slv_cosine-d_0200	ELTeC-slv	cosine-d	0200	2.0	0.8776119402985074	0.959412986252374	0.9653317277628166	0.962363256709563	0.9523809523809523	0.04058701374762622
ELTeC-slv_burrows-d_0200	ELTeC-slv	burrows-d	0200	2.0	0.7622561939905114	0.9249572757036592	0.9640866748288406	0.9441167147439983	0.8571428571428571	0.07504272429634101
ELTeC-slv_eders-d_0200	ELTeC-slv	eders-d	0200	3.0	0.7614297589359934	0.9218916241042033	0.946913637120382	0.9342351168674492	0.8809523809523809	0.07810837589579672
ELTeC-slv_cosine-d_0250	ELTeC-slv	cosine-d	0250	3.0	0.8184233835252436	0.9391194793785608	0.947836690578041	0.9434579494361228	0.9285714285714286	0.06088052062143934
ELTeC-slv_burrows-d_0250	ELTeC-slv	burrows-d	0250	3.0	0.7890222984562607	0.9290534955169447	0.9473013023975508	0.9380886677491836	0.9047619047619048	0.07094650448305544
ELTeC-slv_eders-d_0250	ELTeC-slv	eders-d	0250	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0300	ELTeC-slv	cosine-d	0300	2.0	0.8776119402985074	0.959412986252374	0.9653317277628167	0.962363256709563	0.9523809523809523	0.04058701374762622
ELTeC-slv_burrows-d_0300	ELTeC-slv	burrows-d	0300	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_eders-d_0300	ELTeC-slv	eders-d	0300	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0350	ELTeC-slv	cosine-d	0350	1.0	0.938122547539994	0.979706493126187	0.9827191677145067	0.9812105179230236	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_0350	ELTeC-slv	burrows-d	0350	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
